id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,pulled_at,market_cap_tier
1,Bitcoin,BTC,bitcoin,12231,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",21000000.0,19886106.0,19886106.0,False,,1,,,,2025-07-01T18:25:00.000Z,105965.65899762833,42597050083.53542,0.5302,-0.32965529,-1.28889443,0.0886731,1.05938316,8.69052537,22.61445013,2107244327186.6907,64.5922,2225278838950.19,,2025-07-01T18:25:00.000Z,,,,,,2025-07-02 00:02:29.214596,Mega Cap ($10B+)
1027,Ethereum,ETH,ethereum,10359,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,120717564.25812733,120717564.25812733,True,,2,,,,2025-07-01T18:25:00.000Z,2423.685734138753,15261904336.694262,-16.8375,-0.32923693,-2.76647407,-0.84245316,-3.80570407,30.85716268,28.05090318,292581438352.4014,8.9683,292581438352.4,,2025-07-01T18:25:00.000Z,,,,,,2025-07-02 00:02:29.214596,Mega Cap ($10B+)
825,Tether USDt,USDT,tether,134452,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing']",,157715226184.9504,159826220130.02545,True,,3,,,,2025-07-01T18:25:00.000Z,1.0002918361213344,61721930044.96369,-3.9276,0.00232016,-0.0046472,-0.02686063,-0.00608951,-0.01354125,0.04239803,157761253184.8356,4.8358,159872863194.2,,2025-07-01T18:25:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-07-02 00:02:29.214596,Mega Cap ($10B+)
52,XRP,XRP,xrp,1635,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",100000000000.0,59005546715.0,99985991375.0,False,,4,,,,2025-07-01T18:25:00.000Z,2.1809611223670875,4396543107.703204,89.2621,-0.66137691,-1.85895407,-0.59327606,0.95896538,-1.55403452,2.0480505,128688803389.43001,3.9446,218096112236.71,,2025-07-01T18:25:00.000Z,,,,,,2025-07-02 00:02:29.214596,Mega Cap ($10B+)
1839,BNB,BNB,bnb,2597,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing']",,140885403.45,140885403.45,False,,5,,,,2025-07-01T18:26:00.000Z,645.3665250303685,1385840398.2650049,-7.4898,-0.21971762,-1.89488338,0.35711657,-1.33039041,7.49910426,6.94379535,90922723252.02798,2.7875,90922723252.03,,2025-07-01T18:26:00.000Z,,,,,,2025-07-02 00:02:29.214596,Mega Cap ($10B+)
5426,Solana,SOL,solana,940,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,534609761.338482,604306813.8467602,True,,6,525236893.3,77249024721.19176,,2025-07-01T18:26:00.000Z,147.07463566743277,3672150288.035715,-22.1611,-0.85705941,-6.07243492,2.01799373,-5.46223522,-1.94869183,13.51396326,78627535873.11043,2.4101,88878204477.86,,2025-07-01T18:26:00.000Z,,,,,,2025-07-02 00:02:29.214596,Mega Cap ($10B+)
3408,USDC,USDC,usd-coin,28986,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing']",,61649262160.356346,61649262160.356346,False,,7,60901219650.23,60903944833.182594,,2025-07-01T18:26:00.000Z,1.000044747592384,8016654758.013421,-4.3521,0.01088202,0.00077606,-0.00128987,0.02423053,0.01088756,0.01611814,61652020816.41027,1.8902,61652020816.41,,2025-07-01T18:26:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-07-02 00:02:29.214596,Mega Cap ($10B+)
1958,TRON,TRX,tron,1191,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing']",,94793975469.68431,94793979612.24493,True,,8,71659659264.0,19975786140.086697,,2025-07-01T18:25:00.000Z,0.2787591560614917,379119562.7060327,-0.1817,-0.05994238,-0.15794474,1.74669324,3.68550755,12.65320296,16.98649261,26424688601.642944,0.81,26424689756.42,,2025-07-01T18:25:00.000Z,,,,,,2025-07-02 00:02:29.214596,Mega Cap ($10B+)
74,Dogecoin,DOGE,dogecoin,1242,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america', 'binance-ecosystem', 'binance-listing']",,149918026383.70526,149918026383.70526,True,,9,,,,2025-07-01T18:26:00.000Z,0.15846353805126395,723778808.0688835,-16.9729,-0.71603745,-4.06669154,-3.37420086,-17.26750414,-12.69101234,-8.0931307,23756540878.42467,0.7282,23756540878.42,,2025-07-01T18:26:00.000Z,,,,,,2025-07-02 00:02:29.214596,Mega Cap ($10B+)
2010,Cardano,ADA,cardano,1534,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",45000000000.0,35376156272.84237,44994992609.86569,False,,10,,,,2025-07-01T18:25:00.000Z,0.542162950130542,793721499.4915353,5.2743,-0.87392544,-5.41429313,-7.08046212,-20.30558236,-22.51838878,-20.80047378,19179641249.1633,0.5884,24397332755.87,,2025-07-01T18:25:00.000Z,,,,,,2025-07-02 00:02:29.214596,Mega Cap ($10B+)
